order_id,order_date,order_status,store_name,customer_name,state,product_name,category_name,brand_name,quantity,list_price,discount,line_total,current_stock
13,08-01-2016,4,Baldwin Bikes,Patience Clayton,NY,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,429,0.05,815.1,3
13,08-01-2016,4,Baldwin Bikes,Patience Clayton,NY,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.1,1079.982,20
13,08-01-2016,4,Baldwin Bikes,Patience Clayton,NY,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,1139.981,20
14,09-01-2016,4,Santa Cruz Bikes,Maribel William,CA,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.07,437.0907,0
15,09-01-2016,4,Baldwin Bikes,Ellsworth Michael,NY,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.07,1022.9814,2
15,09-01-2016,4,Baldwin Bikes,Ellsworth Michael,NY,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.07,1673.9907,1
15,09-01-2016,4,Baldwin Bikes,Ellsworth Michael,NY,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,2,449,0.05,853.1,13
15,09-01-2016,4,Baldwin Bikes,Ellsworth Michael,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.2,479.984,12
16,12-01-2016,4,Santa Cruz Bikes,Lea Key,CA,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.2,1439.992,0
16,12-01-2016,4,Santa Cruz Bikes,Lea Key,CA,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,1,269.99,0.05,256.4905,24
16,12-01-2016,4,Santa Cruz Bikes,Lea Key,CA,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,2,269.99,0.07,502.1814,13
16,12-01-2016,4,Santa Cruz Bikes,Lea Key,CA,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.07,251.0907,8
17,12-01-2016,4,Santa Cruz Bikes,Sindy Anderson,CA,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.07,1673.9907,0
17,12-01-2016,4,Santa Cruz Bikes,Sindy Anderson,CA,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,1,299.99,0.1,269.991,9
17,12-01-2016,4,Santa Cruz Bikes,Sindy Anderson,CA,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.1,1188.891,22
17,12-01-2016,4,Santa Cruz Bikes,Sindy Anderson,CA,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.2,959.984,26
18,14-01-2016,4,Santa Cruz Bikes,Lanita Burton,CA,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,2,749.99,0.2,1199.984,5
18,14-01-2016,4,Santa Cruz Bikes,Lanita Burton,CA,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.05,256.4905,29
18,14-01-2016,4,Santa Cruz Bikes,Lanita Burton,CA,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.1,3599.991,8
18,14-01-2016,4,Santa Cruz Bikes,Lanita Burton,CA,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,2,499.99,0.05,949.981,10
18,14-01-2016,4,Santa Cruz Bikes,Lanita Burton,CA,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.1,5399.982,11
19,14-01-2016,4,Santa Cruz Bikes,Norine Huffman,CA,Surly Straggler - 2016,Cyclocross Bicycles,Surly,1,1549,0.07,1440.57,15
19,14-01-2016,4,Santa Cruz Bikes,Norine Huffman,CA,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.2,4799.984,11
20,14-01-2016,4,Santa Cruz Bikes,Randee Pitts,CA,Trek Conduit+ - 2016,Electric Bikes,Trek,1,2999.99,0.07,2789.9907,11
20,14-01-2016,4,Santa Cruz Bikes,Randee Pitts,CA,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.07,2881.14,15
21,15-01-2016,4,Baldwin Bikes,Neoma Daugherty,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.05,256.4905,18
21,15-01-2016,4,Baldwin Bikes,Neoma Daugherty,NY,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429,0.1,386.1,3
21,15-01-2016,4,Baldwin Bikes,Neoma Daugherty,NY,Surly Straggler - 2016,Cyclocross Bicycles,Surly,1,1549,0.07,1440.57,13
22,16-01-2016,4,Santa Cruz Bikes,Tangela Hurley,CA,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,2,529.99,0.2,847.984,3
22,16-01-2016,4,Santa Cruz Bikes,Tangela Hurley,CA,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.05,256.4905,29
23,16-01-2016,4,Santa Cruz Bikes,Drucilla Gilliam,CA,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,2,2899.99,0.05,5509.981,23
23,16-01-2016,4,Santa Cruz Bikes,Drucilla Gilliam,CA,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.1,539.982,9
23,16-01-2016,4,Santa Cruz Bikes,Drucilla Gilliam,CA,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,1,269.99,0.2,215.992,13
24,18-01-2016,4,Baldwin Bikes,Ashton Lott,NY,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.1,1799.982,28
24,18-01-2016,4,Baldwin Bikes,Ashton Lott,NY,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,2,449,0.07,835.14,13
25,18-01-2016,4,Baldwin Bikes,Sam Lester,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.2,479.984,12
25,18-01-2016,4,Baldwin Bikes,Sam Lester,NY,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.2,2478.4,13
25,18-01-2016,4,Baldwin Bikes,Sam Lester,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.2,215.992,0
25,18-01-2016,4,Baldwin Bikes,Sam Lester,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.2,215.992,18
25,18-01-2016,4,Baldwin Bikes,Sam Lester,NY,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,1,269.99,0.1,242.991,16
26,18-01-2016,4,Baldwin Bikes,Jackeline Colon,NY,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.05,3799.9905,8
26,18-01-2016,4,Baldwin Bikes,Jackeline Colon,NY,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,1,749.99,0.2,599.992,16
26,18-01-2016,4,Baldwin Bikes,Jackeline Colon,NY,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,1,549.99,0.2,439.992,2
26,18-01-2016,4,Baldwin Bikes,Jackeline Colon,NY,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.07,502.1814,16
27,19-01-2016,4,Baldwin Bikes,Pamala Henry,NY,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.2,1056.792,1
27,19-01-2016,4,Baldwin Bikes,Pamala Henry,NY,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,449,0.2,359.2,15
27,19-01-2016,4,Baldwin Bikes,Pamala Henry,NY,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,2,599.99,0.07,1115.9814,2
27,19-01-2016,4,Baldwin Bikes,Pamala Henry,NY,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.07,1673.9907,1
28,19-01-2016,4,Baldwin Bikes,Eleni Gordon,NY,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.05,1254.9405,1
28,19-01-2016,4,Baldwin Bikes,Eleni Gordon,NY,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.2,6399.984,8
28,19-01-2016,4,Baldwin Bikes,Eleni Gordon,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,2,269.99,0.1,485.982,18
28,19-01-2016,4,Baldwin Bikes,Eleni Gordon,NY,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.05,446.4905,11
29,20-01-2016,4,Baldwin Bikes,Laureen Barry,NY,Electra Townie Original 21D - 2016,Comfort Bicycles,Electra,2,549.99,0.05,1044.981,16
29,20-01-2016,4,Baldwin Bikes,Laureen Barry,NY,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.2,375.992,11
29,20-01-2016,4,Baldwin Bikes,Laureen Barry,NY,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.1,485.982,16
29,20-01-2016,4,Baldwin Bikes,Laureen Barry,NY,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.2,1439.992,1
29,20-01-2016,4,Baldwin Bikes,Laureen Barry,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,2,269.99,0.05,512.981,18
30,20-01-2016,4,Baldwin Bikes,Yvone Guerrero,NY,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,1,599.99,0.05,569.9905,2
30,20-01-2016,4,Baldwin Bikes,Yvone Guerrero,NY,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429,0.07,398.97,3
30,20-01-2016,4,Baldwin Bikes,Yvone Guerrero,NY,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,449,0.1,404.1,15
30,20-01-2016,4,Baldwin Bikes,Yvone Guerrero,NY,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,1,2899.99,0.1,2609.991,2
30,20-01-2016,4,Baldwin Bikes,Yvone Guerrero,NY,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.1,7199.982,8
31,20-01-2016,4,Rowlett Bikes,Edgar Quinn,TX,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,2,1680.99,0.05,3193.881,30
31,20-01-2016,4,Rowlett Bikes,Edgar Quinn,TX,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.2,4799.984,23
32,21-01-2016,4,Santa Cruz Bikes,Kimbery Nieves,CA,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.07,3347.9814,0
32,21-01-2016,4,Santa Cruz Bikes,Kimbery Nieves,CA,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.07,1022.9814,16
32,21-01-2016,4,Santa Cruz Bikes,Kimbery Nieves,CA,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,2,499.99,0.1,899.982,10
33,21-01-2016,4,Baldwin Bikes,Verona O'neill,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.07,557.9814,12
33,21-01-2016,4,Baldwin Bikes,Verona O'neill,NY,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.1,3599.991,8
34,22-01-2016,4,Baldwin Bikes,Sarai Mckee,NY,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.07,3347.9814,1
34,22-01-2016,4,Baldwin Bikes,Sarai Mckee,NY,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.1,2788.2,13
34,22-01-2016,4,Baldwin Bikes,Sarai Mckee,NY,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,429,0.2,686.4,3
35,22-01-2016,4,Baldwin Bikes,Neville Mcclain,NY,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,1,449,0.05,426.55,13
35,22-01-2016,4,Baldwin Bikes,Neville Mcclain,NY,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,1139.981,20
35,22-01-2016,4,Baldwin Bikes,Neville Mcclain,NY,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.2,1056.792,1
35,22-01-2016,4,Baldwin Bikes,Neville Mcclain,NY,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.07,502.1814,16
35,22-01-2016,4,Baldwin Bikes,Neville Mcclain,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.07,251.0907,0
36,23-01-2016,4,Baldwin Bikes,Shantel Gregory,NY,Trek Conduit+ - 2016,Electric Bikes,Trek,1,2999.99,0.07,2789.9907,17
36,23-01-2016,4,Baldwin Bikes,Shantel Gregory,NY,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.05,1254.9405,1
36,23-01-2016,4,Baldwin Bikes,Shantel Gregory,NY,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.2,1599.984,28
37,25-01-2016,4,Baldwin Bikes,Tomika Larson,NY,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,1139.981,20
38,25-01-2016,4,Baldwin Bikes,Lashandra Turner,NY,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.05,7599.981,8
38,25-01-2016,4,Baldwin Bikes,Lashandra Turner,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,1,299.99,0.07,278.9907,12
38,25-01-2016,4,Baldwin Bikes,Lashandra Turner,NY,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,1,499.99,0.2,399.992,18
38,25-01-2016,4,Baldwin Bikes,Lashandra Turner,NY,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.1,2788.2,13
38,25-01-2016,4,Baldwin Bikes,Lashandra Turner,NY,Electra Townie Original 21D - 2016,Comfort Bicycles,Electra,1,549.99,0.07,511.4907,16
39,25-01-2016,4,Baldwin Bikes,Travis Whitley,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,2,269.99,0.2,431.984,0
39,25-01-2016,4,Baldwin Bikes,Travis Whitley,NY,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.2,959.984,20
39,25-01-2016,4,Baldwin Bikes,Travis Whitley,NY,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.05,1899.981,28
39,25-01-2016,4,Baldwin Bikes,Travis Whitley,NY,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,1,529.99,0.1,476.991,6
40,27-01-2016,4,Santa Cruz Bikes,Darren Witt,CA,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429,0.2,343.2,2
40,27-01-2016,4,Santa Cruz Bikes,Darren Witt,CA,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.2,2879.984,0
41,27-01-2016,4,Baldwin Bikes,Ingeborg Ellison,NY,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.1,1188.891,1
41,27-01-2016,4,Baldwin Bikes,Ingeborg Ellison,NY,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,449,0.2,718.4,15
41,27-01-2016,4,Baldwin Bikes,Ingeborg Ellison,NY,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,2,599.99,0.2,959.984,2
42,27-01-2016,4,Baldwin Bikes,Corene Swanson,NY,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,449,0.05,426.55,15
43,27-01-2016,4,Baldwin Bikes,Elana Miles,NY,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,2,269.99,0.1,485.982,1
43,27-01-2016,4,Baldwin Bikes,Elana Miles,NY,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.05,1044.981,2
44,28-01-2016,4,Baldwin Bikes,Olympia Figueroa,NY,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.1,3599.991,8
44,28-01-2016,4,Baldwin Bikes,Olympia Figueroa,NY,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,1,599.99,0.05,569.9905,20
45,28-01-2016,4,Baldwin Bikes,Carissa Cross,NY,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,2,2899.99,0.2,4639.984,2
45,28-01-2016,4,Baldwin Bikes,Carissa Cross,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.07,251.0907,0
45,28-01-2016,4,Baldwin Bikes,Carissa Cross,NY,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.05,512.981,16
46,29-01-2016,4,Baldwin Bikes,Eldridge Greer,NY,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429,0.1,386.1,3
47,29-01-2016,4,Baldwin Bikes,Joshua Berg,NY,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.05,446.4905,11
47,29-01-2016,4,Baldwin Bikes,Joshua Berg,NY,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,1,529.99,0.1,476.991,6
47,29-01-2016,4,Baldwin Bikes,Joshua Berg,NY,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,2,499.99,0.07,929.9814,18
47,29-01-2016,4,Baldwin Bikes,Joshua Berg,NY,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,1,269.99,0.2,215.992,1
48,30-01-2016,4,Baldwin Bikes,Josephine Dale,NY,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,1,1680.99,0.1,1512.891,21
48,30-01-2016,4,Baldwin Bikes,Josephine Dale,NY,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,1,2899.99,0.2,2319.992,2
48,30-01-2016,4,Baldwin Bikes,Josephine Dale,NY,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,2,1320.99,0.1,2377.782,1
48,30-01-2016,4,Baldwin Bikes,Josephine Dale,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,2,269.99,0.07,502.1814,18
49,31-01-2016,4,Baldwin Bikes,Taisha Vang,NY,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,2,269.99,0.07,502.1814,1
50,31-01-2016,4,Rowlett Bikes,Silas Tate,TX,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,1,999.99,0.05,949.9905,0
50,31-01-2016,4,Rowlett Bikes,Silas Tate,TX,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,2,599.99,0.07,1115.9814,27
50,31-01-2016,4,Rowlett Bikes,Silas Tate,TX,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,2,269.99,0.2,431.984,19
51,01-02-2016,4,Baldwin Bikes,Jamaal Baker,NY,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,1,269.99,0.05,256.4905,1
51,01-02-2016,4,Baldwin Bikes,Jamaal Baker,NY,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.05,569.9905,20
51,01-02-2016,4,Baldwin Bikes,Jamaal Baker,NY,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,2,599.99,0.2,959.984,2
52,03-02-2016,4,Santa Cruz Bikes,Twana Arnold,CA,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,1,499.99,0.07,464.9907,10
53,03-02-2016,4,Baldwin Bikes,Margit Osborn,NY,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.2,2879.984,1
53,03-02-2016,4,Baldwin Bikes,Margit Osborn,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.05,569.981,12
53,03-02-2016,4,Baldwin Bikes,Margit Osborn,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,2,269.99,0.2,431.984,18
53,03-02-2016,4,Baldwin Bikes,Margit Osborn,NY,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,2,499.99,0.1,899.982,18
54,04-02-2016,4,Baldwin Bikes,Inge Olsen,NY,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,2,599.99,0.2,959.984,2
54,04-02-2016,4,Baldwin Bikes,Inge Olsen,NY,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,1,999.99,0.2,799.992,28
55,04-02-2016,4,Baldwin Bikes,Chanel May,NY,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,1,269.99,0.05,256.4905,16
55,04-02-2016,4,Baldwin Bikes,Chanel May,NY,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,2,499.99,0.2,799.984,18
55,04-02-2016,4,Baldwin Bikes,Chanel May,NY,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,2,529.99,0.2,847.984,6
56,04-02-2016,4,Baldwin Bikes,Nathaniel Davidson,NY,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.07,1115.9814,20
57,04-02-2016,4,Baldwin Bikes,Dalia Carson,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.1,539.982,12
57,04-02-2016,4,Baldwin Bikes,Dalia Carson,NY,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,449,0.2,718.4,15
